Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
SmallOperatingSystem-PT-MT0032DC0008,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0008-CTLstarCardinalityX-13,STARMC,0.0,151292,0.168,0
SmallOperatingSystem-PT-MT0032DC0008,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0008-CTLstarCardinalityX-14,STARMC,0.0,141270,0.001,0
SmallOperatingSystem-PT-MT0032DC0008,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0008-CTLstarCardinalityX-15,STARMC,0.0,166515,0.165,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-00,STARMC,0.0,354501,0.066,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-01,STARMC,0.0,354501,0.086,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-02,STARMC,0.0,0,0.471,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-03,STARMC,0.0,354501,0.028,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-04,STARMC,0.0,354501,0.216,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-05,STARMC,0.0,354501,0.025,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-06,STARMC,0.0,0,0.224,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-07,STARMC,0.0,354501,1.766,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-08,STARMC,0.0,0,0.024,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-09,STARMC,0.0,0,0.025,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-10,STARMC,0.0,0,0.030,0
